t_in,px_in,rsi_in,t_out,px_out,pnl,reason,rsi_out
2025-07-02 19:48:00+02:00,6269.25,51.33319028321998,2025-07-02 20:45:00+02:00,6276.75,-7.5,SL,69.34044880534208
2025-07-10 18:54:00+02:00,6328.5,39.426687328003915,2025-07-10 19:51:00+02:00,6318.5,10.0,TP,27.926357971738838
2025-07-11 17:48:00+02:00,6305.0,50.28724707099971,2025-07-11 18:45:00+02:00,6312.5,-7.5,SL,60.44331810405826
2025-07-11 19:48:00+02:00,6305.5,52.386031977608646,2025-07-11 20:15:00+02:00,6295.5,10.0,TP,32.3528127431678
2025-07-14 16:36:00+02:00,6299.75,48.103397362245985,2025-07-14 16:54:00+02:00,6307.25,-7.5,SL,60.057909323578436
2025-07-14 19:21:00+02:00,6311.0,41.28522461376852,2025-07-15 14:30:00+02:00,6301.0,10.0,TP,9.87912476440414
2025-07-15 16:21:00+02:00,6306.0,51.1481957562614,2025-07-15 16:57:00+02:00,6296.0,10.0,TP,34.31258431882904
2025-07-16 20:12:00+02:00,6299.0,46.674834944980695,2025-07-17 14:30:00+02:00,6306.5,-7.5,SL,79.48125746239154
2025-07-17 16:51:00+02:00,6328.5,50.77393681263789,2025-07-17 18:00:00+02:00,6336.0,-7.5,SL,70.6005660074143
2025-07-17 20:09:00+02:00,6340.25,50.40570056386964,2025-07-18 14:42:00+02:00,6330.25,10.0,TP,29.560839503092396
2025-07-18 16:21:00+02:00,6335.25,41.65378631038999,2025-07-18 16:27:00+02:00,6325.25,10.0,TP,30.9224654126283
2025-07-21 18:00:00+02:00,6370.0,44.26872029785849,2025-07-21 19:00:00+02:00,6360.0,10.0,TP,20.407945233957662
2025-07-22 20:06:00+02:00,6346.25,41.72032111946048,2025-07-23 14:30:00+02:00,6353.75,-7.5,SL,80.04806239932861
2025-07-25 19:54:00+02:00,6425.25,30.722490490223606,2025-07-27 22:00:00+02:00,6432.75,-7.5,SL,88.12376918109219
2025-07-30 17:30:00+02:00,6415.25,43.69929036882503,2025-07-30 18:00:00+02:00,6422.75,-7.5,SL,47.58915136438871
2025-07-30 18:21:00+02:00,6416.25,44.932557688788826,2025-07-30 18:30:00+02:00,6423.75,-7.5,SL,67.63722253460651
2025-07-30 18:48:00+02:00,6415.0,35.22473112837697,2025-07-30 18:51:00+02:00,6405.0,10.0,TP,30.17150453719239
