20250601 234300;5899.25;5900.75;5899;5900.25;291
20250601 234400;5900.5;5900.5;5899.75;5900;224
20250601 234500;5900.25;5900.25;5899;5900;122
20250601 234600;5900;5900.5;5898.5;5900;329
20250601 234700;5899.75;5899.75;5898.75;5898.75;166
20250601 234800;5898.75;5899.5;5898.75;5899.25;75
20250601 234900;5899.25;5899.5;5899;5899.25;36
20250601 235000;5899.5;5900;5899.25;5900;71
20250601 235100;5899.75;5900;5899;5899.5;114
20250601 235200;5899.5;5899.5;5898.25;5898.5;126
20250601 235300;5898.5;5898.5;5897.25;5897.5;182
20250601 235400;5897.5;5898;5897.25;5898;85
20250601 235500;5898.25;5898.5;5897.25;5897.5;115
20250601 235600;5897.75;5898;5896.5;5897.5;174
20250601 235700;5897.5;5898;5896.75;5897.5;74
20250601 235800;5897.5;5898.5;5897.25;5897.75;111
20250601 235900;5898;5898;5897.25;5897.5;151
20250602 000000;5897.75;5899;5897.5;5898.75;117
20250602 000100;5898.75;5899.75;5897.5;5899;318
20250602 000200;5898.75;5901.25;5898.5;5901;386
20250602 000300;5901;5902.25;5900.75;5902;343
20250602 000400;5902;5902.5;5901.25;5902;296
20250602 000500;5901.75;5902.25;5901;5901.5;205
20250602 000600;5901.25;5901.25;5898;5900;429
20250602 000700;5900;5901.25;5899.75;5900;177
20250602 000800;5900.25;5902.75;5900;5902;214
20250602 000900;5902.25;5902.25;5900.75;5901;169
20250602 001000;5901.25;5902.5;5901.25;5901.75;236
20250602 001100;5902;5902.5;5901.25;5901.75;151
20250602 001200;5901.5;5903.5;5901;5903.5;229
20250602 001300;5903.5;5903.5;5901.75;5902.75;260
20250602 001400;5903;5903.25;5902.25;5902.5;211
20250602 001500;5902.5;5904.75;5902.25;5904;291
20250602 001600;5904;5906;5903;5903.75;735
20250602 001700;5903.5;5904.75;5903.5;5904.25;157
20250602 001800;5904.5;5904.5;5902.5;5903.25;288
20250602 001900;5903.25;5903.75;5903;5903;127
20250602 002000;5902.75;5902.75;5901.25;5901.5;359
20250602 002100;5901.75;5903.25;5901.75;5902;217
20250602 002200;5902;5903.25;5902;5903.25;136
20250602 002300;5903.25;5904;5902.5;5902.5;220
20250602 002400;5902.75;5903.25;5901;5902.75;123
