20250615 234300;6037.25;6042.75;6037.25;6040.25;734
20250615 234400;6040.25;6041.75;6039.75;6039.75;272
20250615 234500;6039.5;6040.25;6038.25;6038.75;268
20250615 234600;6038.75;6038.75;6036.75;6037.5;247
20250615 234700;6037.25;6039.5;6037;6037.75;171
20250615 234800;6037.75;6038.25;6037;6037.75;102
20250615 234900;6038;6038.75;6037.25;6037.5;127
20250615 235000;6037.25;6038.5;6037.25;6038.5;52
20250615 235100;6038.25;6039;6037.75;6037.75;109
20250615 235200;6037.75;6039.25;6037.5;6038.75;236
20250615 235300;6038.5;6040.25;6038.5;6039.75;179
20250615 235400;6039.5;6039.75;6038.75;6039.5;66
20250615 235500;6039.5;6041;6039.25;6039.5;135
20250615 235600;6039.25;6041.25;6039;6040.5;261
20250615 235700;6040.5;6041.25;6040.25;6040.25;132
20250615 235800;6040.25;6041;6039.5;6039.5;88
20250615 235900;6039.5;6039.75;6038.5;6039.5;147
20250616 000000;6039.5;6040.5;6039.5;6040.25;82
20250616 000100;6039.75;6041.25;6039;6039.75;397
20250616 000200;6040;6041;6039;6041;241
20250616 000300;6040.75;6042.25;6040.5;6041.75;234
20250616 000400;6041.75;6042.75;6041.75;6041.75;277
20250616 000500;6041.75;6042.25;6041.5;6042;84
20250616 000600;6042.25;6042.5;6041;6041.25;226
20250616 000700;6041.5;6041.5;6039.25;6040.25;167
20250616 000800;6040.25;6042;6040;6041.75;126
20250616 000900;6041.5;6042.5;6040.75;6042.25;131
20250616 001000;6042.25;6042.5;6041.5;6042.5;145
20250616 001100;6042.5;6043;6041.75;6042;392
20250616 001200;6042.25;6042.5;6040;6040.25;209
20250616 001300;6039.75;6042;6039;6041;220
20250616 001400;6041;6042.5;6040.5;6042;133
20250616 001500;6042;6042.25;6041;6041.75;125
20250616 001600;6042;6042.25;6040.75;6041;183
20250616 001700;6040.75;6042;6040.25;6040.5;140
20250616 001800;6040.25;6041;6039.5;6040.75;135
20250616 001900;6040.5;6040.5;6037;6037.25;396
20250616 002000;6037.25;6037.25;6035.25;6036;366
20250616 002100;6036.25;6038;6036;6036.25;242
20250616 002200;6036.25;6039;6036.25;6038.75;246
20250616 002300;6038.5;6038.75;6037.5;6037.5;165
20250616 002400;6038;6043;6038;6042.25;351
20250616 002500;6042;6042.25;6040;6040;247
20250616 002600;6040;6040.5;6039.25;6040.5;130
20250616 002700;6040.75;6041.75;6040.25;6041.5;219
20250616 002800;6041.5;6041.5;6039.5;6040.75;201
20250616 002900;6040.75;6040.75;6039.25;6039.25;83
20250616 003000;6039.25;6039.5;6037;6037.25;225
20250616 003100;6037.25;6037.25;6035.5;6035.5;219
20250616 003200;6035.75;6036.75;6035.25;6036;182
20250616 003300;6036.5;6037;6034.75;6036.5;259
20250616 003400;6036.25;6040.75;6036.25;6039.5;397
20250616 003500;6039.5;6041.75;6039.5;6041.25;186
20250616 003600;6041;6041.25;6037.75;6038;117
20250616 003700;6038;6039;6038;6038.25;119
20250616 003800;6038.5;6039.25;6038.25;6038.75;92
20250616 003900;6038.5;6038.5;6038;6038.5;70
20250616 004000;6038.25;6038.75;6037.75;6038.25;83
20250616 004100;6038;6039.75;6038;6039.75;75
20250616 004200;6039.5;6041;6039.25;6040.5;176
20250616 004300;6040.5;6041.25;6040.25;6040.5;109
