DateTime,Open,High,Low,Close,Volume
2025-06-15 22:00:00,6002.25,6017.0,5996.0,6006.0,1919
2025-06-15 22:03:00,6006.5,6027.0,6006.0,6017.25,3020
2025-06-15 22:06:00,6017.25,6022.25,6013.75,6016.5,2261
2025-06-15 22:09:00,6016.5,6018.25,6008.25,6010.5,2457
2025-06-15 22:12:00,6010.0,6021.0,6009.75,6018.0,2537
2025-06-15 22:15:00,6018.25,6024.25,6018.0,6020.5,2247
2025-06-15 22:18:00,6020.75,6023.5,6018.75,6023.0,1046
2025-06-15 22:21:00,6023.25,6025.5,6020.75,6023.5,1150
2025-06-15 22:24:00,6023.5,6027.75,6022.75,6023.0,1381
2025-06-15 22:27:00,6023.0,6028.25,6023.0,6026.25,881
2025-06-15 22:30:00,6026.25,6029.5,6025.25,6028.5,896
2025-06-15 22:33:00,6028.25,6030.0,6026.0,6030.0,777
2025-06-15 22:36:00,6029.5,6029.5,6026.5,6028.25,830
2025-06-15 22:39:00,6028.25,6028.5,6025.5,6027.5,616
2025-06-15 22:42:00,6027.75,6028.5,6025.25,6027.5,646
2025-06-15 22:45:00,6027.5,6037.75,6027.5,6034.0,2962
2025-06-15 22:48:00,6034.25,6036.0,6033.5,6033.5,733
2025-06-15 22:51:00,6033.75,6033.75,6030.5,6031.0,719
2025-06-15 22:54:00,6031.25,6031.75,6029.75,6031.25,444
2025-06-15 22:57:00,6031.25,6031.5,6028.75,6029.75,338
2025-06-15 23:00:00,6029.75,6030.75,6028.5,6028.75,368
2025-06-15 23:03:00,6028.75,6029.75,6026.25,6026.5,635
2025-06-15 23:06:00,6026.5,6034.0,6026.5,6033.5,1247
2025-06-15 23:09:00,6033.5,6034.5,6031.25,6031.25,504
2025-06-15 23:12:00,6031.25,6031.25,6023.5,6025.75,1516
2025-06-15 23:15:00,6025.5,6027.5,6024.75,6025.0,403
2025-06-15 23:18:00,6025.0,6032.25,6023.0,6031.25,1016
2025-06-15 23:21:00,6031.25,6031.5,6026.25,6026.25,620
2025-06-15 23:24:00,6026.25,6029.0,6024.25,6028.5,746
2025-06-15 23:27:00,6028.5,6029.75,6027.0,6027.5,379
2025-06-15 23:30:00,6027.5,6029.5,6025.5,6029.5,544
2025-06-15 23:33:00,6029.25,6033.0,6029.0,6032.5,762
2025-06-15 23:36:00,6032.5,6038.75,6032.25,6037.5,1377
2025-06-15 23:39:00,6037.5,6037.75,6034.5,6037.5,885
2025-06-15 23:42:00,6037.25,6042.75,6036.5,6039.75,1293
2025-06-15 23:45:00,6039.5,6040.25,6036.75,6037.75,686
2025-06-15 23:48:00,6037.75,6038.75,6037.0,6038.5,281
2025-06-15 23:51:00,6038.25,6040.25,6037.5,6039.75,524
2025-06-15 23:54:00,6039.5,6041.25,6038.75,6040.5,462
2025-06-15 23:57:00,6040.5,6041.25,6038.5,6039.5,367
2025-06-16 00:00:00,6039.5,6041.25,6039.0,6041.0,720
2025-06-16 00:03:00,6040.75,6042.75,6040.5,6042.0,595
2025-06-16 00:06:00,6042.25,6042.5,6039.25,6041.75,519
2025-06-16 00:09:00,6041.5,6043.0,6040.75,6042.0,668
2025-06-16 00:12:00,6042.25,6042.5,6039.0,6042.0,562
2025-06-16 00:15:00,6042.0,6042.25,6040.25,6040.5,448
2025-06-16 00:18:00,6040.25,6041.0,6035.25,6036.0,897
2025-06-16 00:21:00,6036.25,6039.0,6036.0,6037.5,653
2025-06-16 00:24:00,6038.0,6043.0,6038.0,6040.5,728
2025-06-16 00:27:00,6040.75,6041.75,6039.25,6039.25,503
2025-06-16 00:30:00,6039.25,6039.5,6035.25,6036.0,626
